3	0.30000000000000004 0.44	0.30000000000000004 0.3400000000000001	0.30000000000000004 0.39000000000000007	0.30000000000000004 6.14	
10	0.9999999999999999 0.31000000000000005	1.7000000000000004 0.3	1.7000000000000004 0.43000000000000005	1.7000000000000004 6.41	
100	9.99999999999998 1.1000000000000003	16.89999999999997 0.69	109.19999999999807 4.79	125.99999999999712 35.42	
1000	99.9999999999986 55.99	160.89999999999515 35.06	992.4000000001571 67.72	10450.400000020487 3079.41	
