3	0.30000000000000004 0.4499999999999999	0.30000000000000004 0.36999999999999994	0.30000000000000004 0.4099999999999999	0.30000000000000004 6.34	
10	0.9999999999999999 0.25	1.7000000000000004 0.24	1.7000000000000004 0.43000000000000005	1.7000000000000004 6.48	
100	9.99999999999998 1.02	16.89999999999997 0.63	109.19999999999807 4.93	125.99999999999712 35.11	
1000	99.9999999999986 46.13	160.89999999999515 24.88	992.4000000001571 64.33	10450.400000020487 2710.53	
