3	0.30000000000000004 0.31000000000000005	0.30000000000000004 0.40999999999999986	0.30000000000000004 0.32999999999999996	0.30000000000000004 6.33	
10	0.9999999999999999 0.11	1.7000000000000004 0.21000000000000002	1.7000000000000004 0.36999999999999994	1.7000000000000004 6.67	
100	9.99999999999998 1.0299999999999998	16.89999999999997 0.6100000000000001	109.19999999999807 5.330000000000001	125.99999999999712 37.83	
1000	99.9999999999986 48.98	160.89999999999515 25.74	992.4000000001571 69.76	10450.400000020487 2866.25	
