3	0.30000000000000004 0.38999999999999996	0.30000000000000004 0.27999999999999997	0.30000000000000004 0.34000000000000014	0.30000000000000004 6.08	
10	0.9999999999999999 0.20000000000000004	0.9999999999999999 0.16	1.7000000000000004 0.39	1.7000000000000004 6.58	
100	9.99999999999998 0.98	9.99999999999998 0.3	36.00000000000024 1.9300000000000002	125.99999999999712 35.04	
1000	99.9999999999986 42.02	99.9999999999986 7.47	360.00000000001336 53.17	3075.1999999982986 783.23	
